n,Best Case,Worst Case
100,62,3236
200,62,6378
300,62,9514
400,62,12662
500,62,15804
600,62,18940
700,62,22082
800,62,25225
900,63,28363
1000,62,31506
1100,62,34652
1200,63,37785
1300,62,40931
1400,62,44069
1500,62,47220
1600,63,50356
1700,62,53494
1800,63,56640
1900,62,59774
2000,62,62924
2100,62,66062
2200,62,69201
2300,62,72345
2400,62,75488
2500,62,78628
2600,62,81773
2700,62,84905
2800,62,88050
2900,63,91194
3000,62,94338
3100,63,97482
3200,62,100618
3300,62,103763
3400,62,106898
3500,62,110052
3600,62,113187
3700,62,116321
3800,62,119472
3900,62,122607
4000,62,125749
4100,62,128891
4200,63,132031
4300,62,135170
4400,62,138316
4500,62,141456
4600,62,144594
4700,62,147740
4800,62,150875
4900,62,154024
5000,62,157161
5100,62,160302
5200,62,163443
5300,62,166585
5400,62,169730
5500,62,172863
5600,62,176013
5700,62,179149
5800,62,182289
5900,62,185435
6000,62,188568
6100,62,191725
6200,62,194861
6300,62,198005
6400,62,201143
6500,63,204295
6600,62,207425
6700,62,210566
6800,63,213694
6900,62,216853
7000,63,219980
7100,62,223124
7200,62,226270
7300,62,229425
7400,62,232557
7500,62,235713
7600,62,238832
7700,62,241975
7800,63,245125
7900,62,248259
8000,62,251404
8100,62,254535
8200,62,257691
8300,62,260831
8400,62,263968
8500,62,267115
8600,62,270253
8700,62,273393
8800,62,276533
8900,62,279678
9000,62,282820
9100,62,285964
9200,62,289110
9300,62,292230
9400,62,295378
9500,62,298532
9600,62,301656
9700,62,304802
9800,62,307950
9900,62,311082
10000,62,314241
