n,Best Case,Worst Case
100,3204,3202
200,6345,6346
300,9486,9489
400,12627,12629
500,15768,15769
600,18913,18911
700,22054,22055
800,25192,25195
900,28333,28335
1000,31476,31476
1100,34615,34618
1200,37759,37762
1300,40906,40898
1400,44041,44037
1500,47188,47187
1600,50328,50328
1700,53467,53461
1800,56606,56609
1900,59750,59749
2000,62882,62886
2100,66029,66027
2200,69172,69173
2300,72319,72312
2400,75455,75452
2500,78595,78594
2600,81741,81741
2700,84879,84874
2800,88031,88018
2900,91167,91163
3000,94307,94304
3100,97440,97449
3200,100584,100584
3300,103728,103725
3400,106864,106868
3500,110012,110014
3600,113148,113150
3700,116296,116296
3800,119431,119439
3900,122573,122583
4000,125721,125721
4100,128856,128857
4200,131996,132003
4300,135148,135153
4400,138281,138281
4500,141421,141426
4600,144568,144557
4700,147712,147707
4800,150844,150845
4900,153982,153998
5000,157132,157128
5100,160274,160273
5200,163416,163411
5300,166555,166552
5400,169694,169701
5500,172833,172843
5600,175976,175974
5700,179120,179114
5800,182264,182268
5900,185396,185402
6000,188547,188548
6100,191689,191696
6200,194823,194832
6300,197977,197972
6400,201110,201113
6500,204251,204261
6600,207403,207391
6700,210523,210540
6800,213666,213678
6900,216815,216827
7000,219965,219955
7100,223093,223098
7200,226230,226248
7300,229386,229390
7400,232520,232526
7500,235663,235662
7600,238803,238802
7700,241953,241954
7800,245080,245090
7900,248230,248231
8000,251377,251366
8100,254523,254507
8200,257669,257647
8300,260798,260810
8400,263938,263937
8500,267085,267069
8600,270222,270226
8700,273363,273356
8800,276499,276515
8900,279642,279645
9000,282791,282781
9100,285919,285927
9200,289056,289067
9300,292206,292203
9400,295352,295359
9500,298500,298489
9600,301632,301633
9700,304759,304769
9800,307926,307918
9900,311042,311054
10000,314192,314190
