n,Best Case,Worst Case
100,113,113
200,113,113
300,113,114
400,113,114
500,113,114
600,113,114
700,114,115
800,114,114
900,114,114
1000,114,115
1100,114,115
1200,116,116
1300,116,117
1400,115,115
1500,115,118
1600,115,116
1700,115,117
1800,115,117
1900,114,117
2000,115,119
2100,116,118
2200,116,118
2300,116,120
2400,116,119
2500,117,119
2600,117,120
2700,117,119
2800,117,120
2900,116,120
3000,116,120
3100,116,120
3200,118,119
3300,116,119
3400,116,122
3500,117,122
3600,117,119
3700,118,122
3800,116,122
3900,117,122
4000,118,121
4100,118,123
4200,117,122
4300,118,124
4400,119,122
4500,118,123
4600,118,122
4700,118,123
4800,118,126
4900,117,125
5000,118,125
5100,118,125
5200,118,125
5300,118,124
5400,119,125
5500,121,125
5600,121,126
5700,120,126
5800,119,128
5900,120,129
6000,120,125
6100,121,126
6200,121,127
6300,121,125
6400,120,128
6500,121,129
6600,121,128
6700,120,129
6800,121,130
6900,121,128
7000,120,128
7100,121,129
7200,121,131
7300,121,131
7400,122,131
7500,121,130
7600,121,128
7700,121,129
7800,123,132
7900,124,134
8000,123,132
8100,122,133
8200,122,134
8300,123,130
8400,121,131
8500,121,134
8600,122,131
8700,123,131
8800,121,133
8900,123,133
9000,122,135
9100,124,134
9200,123,135
9300,124,131
9400,124,133
9500,123,135
9600,124,138
9700,123,138
9800,124,138
9900,122,136
10000,124,137
