n,Best Case,Worst Case
100,3761,1906
200,7413,3705
300,11064,5559
400,14664,7358
500,18310,9156
600,21970,11012
700,25556,12806
800,29210,14606
900,32864,16463
1000,36463,18257
1100,40107,20056
1200,43757,21911
1300,47362,23711
1400,51017,25503
1500,54665,27358
1600,58252,29157
1700,61908,30962
1800,65577,32808
1900,69159,34612
2000,72818,36403
2100,76463,38257
2200,80055,40057
2300,83714,41858
2400,87366,43702
2500,90960,45509
2600,94605,47308
2700,98271,49152
2800,101860,50961
2900,105510,52755
3000,109167,54612
3100,112758,56416
3200,116411,58207
3300,120064,60058
3400,123668,61856
3500,127311,63668
3600,130965,65507
3700,134564,67310
3800,138216,69106
3900,141873,70958
4000,145441,72757
4100,149101,74555
4200,152767,76402
4300,156352,78202
4400,160003,80002
4500,163658,81861
4600,167257,83664
4700,170913,85445
4800,174555,87302
4900,178160,89109
5000,181812,90912
5100,185462,92752
5200,189061,94559
5300,192710,96353
5400,196365,98210
5500,199965,100007
5600,203611,101804
5700,207256,103671
5800,210878,105457
5900,214525,107260
6000,218161,109116
6100,221756,110920
6200,225412,112714
6300,229070,114573
6400,232649,116352
6500,236303,118153
6600,239959,120008
6700,243557,121800
6800,247218,123606
6900,250871,125458
7000,254476,127260
7100,258103,129047
7200,261761,130900
7300,265359,132704
7400,269017,134518
7500,272660,136361
7600,276260,138153
7700,279907,139963
7800,283547,141805
7900,287174,143593
8000,290827,145412
8100,294472,147246
8200,298042,149056
8300,301737,150857
8400,305366,152706
8500,308960,154514
8600,312608,156312
8700,316265,158154
8800,319872,159957
8900,323508,161754
9000,327168,163607
9100,330754,165410
9200,334421,167201
9300,338069,169069
9400,341659,170857
9500,345321,172662
9600,348970,174507
9700,352556,176290
9800,356213,178111
9900,359860,179960
10000,363454,181755
