n,Best Case,Worst Case
100,166,166
200,166,166
300,166,166
400,165,166
500,166,166
600,166,166
700,166,166
800,166,166
900,165,165
1000,166,165
1100,166,166
1200,166,165
1300,166,165
1400,165,166
1500,165,166
1600,165,166
1700,166,166
1800,166,165
1900,166,166
2000,166,166
2100,166,166
2200,166,166
2300,166,166
2400,166,166
2500,166,165
2600,166,166
2700,165,166
2800,166,166
2900,166,166
3000,166,166
3100,166,166
3200,166,166
3300,166,166
3400,166,166
3500,166,166
3600,166,166
3700,165,165
3800,166,166
3900,166,166
4000,166,166
4100,166,165
4200,165,165
4300,166,166
4400,165,165
4500,165,166
4600,166,166
4700,166,166
4800,166,166
4900,166,166
5000,166,166
5100,166,165
5200,166,166
5300,166,166
5400,166,165
5500,166,165
5600,166,166
5700,166,166
5800,166,165
5900,165,166
6000,166,166
6100,166,166
6200,166,166
6300,165,165
6400,166,165
6500,166,166
6600,166,166
6700,165,166
6800,165,165
6900,166,166
7000,166,165
7100,166,165
7200,166,165
7300,166,165
7400,166,165
7500,166,166
7600,165,166
7700,166,165
7800,166,166
7900,165,166
8000,165,166
8100,166,166
8200,166,166
8300,165,166
8400,165,165
8500,165,166
8600,166,166
8700,166,166
8800,167,166
8900,166,166
9000,166,166
9100,165,166
9200,166,166
9300,166,166
9400,165,166
9500,165,166
9600,166,166
9700,166,165
9800,166,165
9900,166,165
10000,166,166
