n,Best Case,Worst Case
100,113,113
200,113,113
300,113,113
400,113,113
500,113,113
600,113,113
700,113,113
800,113,113
900,113,113
1000,113,113
1100,113,113
1200,113,113
1300,113,113
1400,113,113
1500,113,113
1600,113,113
1700,113,113
1800,113,113
1900,113,113
2000,113,113
2100,113,113
2200,113,113
2300,113,113
2400,113,113
2500,113,113
2600,112,113
2700,113,113
2800,113,113
2900,113,113
3000,113,113
3100,113,113
3200,113,113
3300,113,113
3400,113,113
3500,113,113
3600,113,113
3700,112,113
3800,113,113
3900,113,113
4000,113,113
4100,113,113
4200,113,113
4300,113,113
4400,113,113
4500,113,113
4600,113,113
4700,113,113
4800,113,113
4900,113,113
5000,113,113
5100,113,113
5200,113,113
5300,113,113
5400,113,113
5500,113,113
5600,113,113
5700,113,113
5800,113,113
5900,113,113
6000,113,113
6100,113,113
6200,113,113
6300,113,113
6400,113,113
6500,113,113
6600,113,113
6700,113,113
6800,113,113
6900,113,113
7000,113,113
7100,113,113
7200,113,113
7300,113,113
7400,113,113
7500,113,113
7600,113,113
7700,113,113
7800,113,113
7900,113,113
8000,113,113
8100,113,113
8200,113,113
8300,113,113
8400,113,113
8500,113,113
8600,113,113
8700,113,113
8800,113,113
8900,113,113
9000,113,113
9100,113,113
9200,113,113
9300,113,113
9400,113,113
9500,113,113
9600,113,113
9700,113,113
9800,113,113
9900,113,113
10000,113,113
