n,Best Case,Worst Case
100,2166,1100
200,4272,2135
300,6376,3204
400,8451,4239
500,10555,5278
600,12659,6345
700,14734,7382
800,16839,8419
900,18943,9487
1000,21017,10525
1100,23120,11559
1200,25227,12627
1300,27298,13665
1400,29402,14700
1500,31507,15771
1600,33580,16805
1700,35692,17843
1800,37795,18911
1900,39866,19942
2000,41964,20983
2100,44067,22051
2200,46143,23089
2300,48253,24124
2400,50356,25196
2500,52431,26232
2600,54529,27266
2700,56642,28335
2800,58717,29371
2900,60811,30411
3000,62921,31473
3100,64997,32515
3200,67099,33550
3300,69202,34618
3400,71277,35652
3500,73385,36689
3600,75487,37761
3700,77558,38795
3800,79664,39833
3900,81764,40906
4000,83837,41935
4100,85951,42976
4200,88051,44039
4300,90127,45079
4400,92218,46110
4500,94336,47184
4600,96405,48215
4700,98507,49251
4800,100611,50322
4900,102693,51362
5000,104797,52393
5100,106899,53463
5200,108974,54501
5300,111081,55540
5400,113185,56604
5500,115254,57649
5600,117366,58682
5700,119467,59749
5800,121536,60790
5900,123641,61827
6000,125752,62890
6100,127822,63925
6200,129934,64966
6300,132031,66036
6400,134096,67070
6500,136205,68104
6600,138319,69172
6700,140392,70215
6800,142492,71250
6900,144589,72318
7000,146674,73348
7100,148777,74389
7200,150881,75457
7300,152949,76489
7400,155058,77524
7500,157166,78598
7600,159241,79627
7700,161335,80672
7800,163444,81745
7900,165522,82784
8000,167620,83804
8100,169735,84878
8200,171805,85924
8300,173910,86950
8400,176009,88025
8500,178082,89053
8600,180196,90097
8700,182299,91165
8800,184356,92192
8900,186474,93237
9000,188576,94308
9100,190643,95344
9200,192757,96377
9300,194863,97447
9400,196927,98485
9500,199033,99519
9600,201133,100589
9700,203226,101623
9800,205319,102661
9900,207415,103714
10000,209506,104766
