n,Best Case,Worst Case
100,3815,1961
200,7465,3760
300,11121,5612
400,14711,7412
500,18368,9212
600,22013,11062
700,25616,12864
800,29261,14660
900,32920,16516
1000,36517,18309
1100,40166,20109
1200,43826,21964
1300,47414,23763
1400,51062,25562
1500,54719,27408
1600,58309,29211
1700,61970,31010
1800,65618,32862
1900,69209,34661
2000,72867,36464
2100,76524,38319
2200,80117,40111
2300,83764,41914
2400,87421,43757
2500,91008,45557
2600,94671,47357
2700,98309,49214
2800,101914,51006
2900,105571,52809
3000,109217,54659
3100,112807,56463
3200,116463,58259
3300,120126,60119
3400,123714,61903
3500,127362,63708
3600,131020,65562
3700,134620,67362
3800,138272,69165
3900,141921,71016
4000,145511,72812
4100,149175,74608
4200,152827,76461
4300,156424,78262
4400,160069,80055
4500,163704,81915
4600,167314,83716
4700,170968,85518
4800,174628,87375
4900,178218,89152
5000,181866,90971
5100,185524,92821
5200,189105,94612
5300,192777,96407
5400,196415,98270
5500,200014,100073
5600,203655,101856
5700,207325,103705
5800,210920,105499
5900,214577,107309
6000,218234,109161
6100,221810,110965
6200,225475,112762
6300,229109,114610
6400,232699,116406
6500,236374,118219
6600,240009,120072
6700,243613,121867
6800,247281,123661
6900,250919,125510
7000,254521,127317
7100,258165,129111
7200,261818,130960
7300,265410,132766
7400,269048,134570
7500,272723,136413
7600,276301,138207
7700,279961,140007
7800,283606,141862
7900,287224,143660
8000,290867,145460
8100,294502,147303
8200,298121,149100
8300,301775,150914
8400,305436,152765
8500,309007,154569
8600,312672,156356
8700,316324,158223
8800,319922,160029
8900,323560,161819
9000,327203,163663
9100,330817,165468
9200,334478,167269
9300,338119,169111
9400,341726,170901
9500,345363,172718
9600,349023,174575
9700,352635,176357
9800,356260,178163
9900,359913,180030
10000,363503,181819
