n,Best Case,Worst Case
100,166,166
200,166,166
300,166,166
400,165,166
500,166,166
600,166,166
700,166,166
800,166,166
900,166,166
1000,165,166
1100,166,165
1200,166,165
1300,166,166
1400,166,166
1500,166,166
1600,166,166
1700,166,166
1800,166,166
1900,165,165
2000,165,166
2100,165,166
2200,165,166
2300,166,166
2400,166,166
2500,166,166
2600,166,165
2700,165,166
2800,166,166
2900,166,166
3000,166,166
3100,166,165
3200,166,166
3300,166,166
3400,166,166
3500,166,165
3600,166,166
3700,166,166
3800,166,166
3900,166,166
4000,166,166
4100,165,165
4200,166,166
4300,165,166
4400,166,166
4500,166,166
4600,166,165
4700,166,166
4800,165,166
4900,166,166
5000,166,165
5100,166,166
5200,166,166
5300,165,166
5400,165,165
5500,165,165
5600,166,166
5700,166,166
5800,166,166
5900,166,165
6000,166,166
6100,166,166
6200,166,166
6300,166,166
6400,166,166
6500,165,166
6600,166,165
6700,166,166
6800,166,165
6900,166,166
7000,166,166
7100,166,166
7200,166,165
7300,165,166
7400,166,166
7500,166,166
7600,166,166
7700,166,165
7800,166,166
7900,166,166
8000,166,166
8100,166,166
8200,166,166
8300,166,165
8400,166,166
8500,165,166
8600,165,166
8700,166,166
8800,166,165
8900,166,166
9000,166,165
9100,165,166
9200,166,165
9300,166,166
9400,166,166
9500,165,166
9600,166,165
9700,166,165
9800,165,166
9900,165,166
10000,166,166
