n,Best Case,Worst Case
100,108,5612
200,109,11063
300,108,16511
400,109,21967
500,108,27411
600,108,32864
700,108,38311
800,108,43770
900,109,49220
1000,108,54661
1100,108,60116
1200,109,65559
1300,108,71013
1400,108,76465
1500,109,81917
1600,108,87370
1700,108,92812
1800,109,98250
1900,108,103721
2000,109,109161
2100,109,114615
2200,108,120061
2300,108,125508
2400,109,130960
2500,109,136431
2600,109,141855
2700,109,147307
2800,109,152761
2900,108,158216
3000,108,163649
3100,109,169121
3200,109,174552
3300,109,180029
3400,108,185454
3500,108,190906
3600,108,196357
3700,109,201800
3800,108,207275
3900,108,212709
4000,108,218167
4100,109,223616
4200,109,229061
4300,108,234518
4400,109,239954
4500,108,245411
4600,109,250861
4700,109,256299
4800,108,261765
4900,109,267208
5000,109,272677
5100,108,278120
5200,109,283558
5300,109,289023
5400,108,294451
5500,109,299913
5600,109,305361
5700,109,310810
5800,108,316268
5900,109,321715
6000,108,327146
6100,108,332598
6200,109,338049
6300,108,343526
6400,108,348971
6500,109,354399
6600,108,359869
6700,108,365323
6800,108,370764
6900,108,376207
7000,108,381664
7100,109,387108
7200,108,392552
7300,109,398002
7400,109,403475
7500,108,408916
7600,109,414371
7700,108,419832
7800,109,425253
7900,109,430710
8000,109,436167
8100,109,441617
8200,109,447067
8300,109,452516
8400,108,457979
8500,109,463419
8600,108,468859
8700,109,474300
8800,108,479783
8900,108,485219
9000,108,490638
9100,108,496124
9200,109,501558
9300,108,507013
9400,109,512466
9500,109,517908
9600,109,523356
9700,109,528820
9800,108,534278
9900,108,539720
10000,108,545159
