n,Best Case,Worst Case
100,260,260
200,516,516
300,1028,1032
400,1028,1032
500,1028,1036
600,2052,2052
700,2052,2060
800,2052,2052
900,2052,2056
1000,2052,2056
1100,4100,4108
1200,4100,4104
1300,4100,4108
1400,4100,4104
1500,4100,4108
1600,4100,4100
1700,4100,4104
1800,4100,4100
1900,4100,4108
2000,4100,4104
2100,8196,8200
2200,8196,8200
2300,8196,8204
2400,8196,8196
2500,8196,8200
2600,8196,8200
2700,8196,8204
2800,8196,8200
2900,8196,8204
3000,8196,8200
3100,8196,8204
3200,8196,8196
3300,8196,8200
3400,8196,8200
3500,8196,8204
3600,8196,8196
3700,8196,8204
3800,8196,8200
3900,8196,8204
4000,8196,8196
4100,16388,16388
4200,16388,16388
4300,16388,16396
4400,16388,16392
4500,16388,16396
4600,16388,16392
4700,16388,16396
4800,16388,16388
4900,16388,16392
5000,16388,16388
5100,16388,16396
5200,16388,16392
5300,16388,16396
5400,16388,16392
5500,16388,16396
5600,16388,16388
5700,16388,16392
5800,16388,16392
5900,16388,16396
6000,16388,16392
6100,16388,16396
6200,16388,16392
6300,16388,16400
6400,16388,16388
6500,16388,16392
6600,16388,16392
6700,16388,16400
6800,16388,16392
6900,16388,16400
7000,16388,16392
7100,16388,16400
7200,16388,16388
7300,16388,16392
7400,16388,16392
7500,16388,16400
7600,16388,16392
7700,16388,16400
7800,16388,16392
7900,16388,16400
8000,16388,16388
8100,16388,16392
8200,32772,32772
8300,32772,32780
8400,32772,32776
8500,32772,32780
8600,32772,32776
8700,32772,32780
8800,32772,32772
8900,32772,32776
9000,32772,32776
9100,32772,32780
9200,32772,32776
9300,32772,32780
9400,32772,32776
9500,32772,32780
9600,32772,32772
9700,32772,32776
9800,32772,32776
9900,32772,32780
10000,32772,32776
