n,Best Case,Worst Case
100,31,3171
200,31,6313
300,31,9456
400,31,12598
500,31,15741
600,31,18879
700,31,22021
800,31,25163
900,31,28303
1000,31,31446
1100,31,34589
1200,31,37731
1300,31,40869
1400,31,44012
1500,31,47152
1600,31,50292
1700,31,53433
1800,31,56580
1900,31,59720
2000,31,62859
2100,31,65995
2200,31,69145
2300,31,72285
2400,31,75416
2500,31,78566
2600,31,81704
2700,31,84850
2800,31,87994
2900,31,91130
3000,31,94271
3100,31,97415
3200,31,100557
3300,31,103690
3400,31,106841
3500,31,109983
3600,31,113129
3700,31,116264
3800,31,119403
3900,31,122548
4000,31,125680
4100,31,128832
4200,31,131966
4300,31,135103
4400,31,138248
4500,31,141381
4600,31,144537
4700,31,147679
4800,31,150811
4900,31,153960
5000,31,157099
5100,31,160244
5200,31,163383
5300,31,166516
5400,31,169667
5500,31,172810
5600,31,175946
5700,31,179094
5800,31,182231
5900,31,185382
6000,31,188520
6100,31,191648
6200,31,194797
6300,31,197941
6400,31,201092
6500,31,204212
6600,31,207372
6700,31,210506
6800,31,213640
6900,31,216783
7000,31,219923
7100,31,223078
7200,31,226222
7300,31,229354
7400,31,232495
7500,31,235643
7600,31,238779
7700,31,241918
7800,31,245039
7900,31,248206
8000,31,251329
8100,31,254490
8200,31,257615
8300,31,260770
8400,31,263912
8500,31,267040
8600,31,270186
8700,31,273330
8800,31,276466
8900,31,279620
9000,31,282759
9100,31,285896
9200,31,289047
9300,31,292173
9400,31,295317
9500,31,298454
9600,31,301610
9700,31,304752
9800,31,307895
9900,31,311027
10000,31,314174
