n,Best Case,Worst Case
100,165,166
200,167,167
300,166,166
400,167,167
500,167,168
600,166,168
700,166,170
800,168,169
900,166,168
1000,168,168
1100,167,171
1200,168,170
1300,168,170
1400,170,171
1500,169,170
1600,168,171
1700,169,171
1800,168,171
1900,169,172
2000,168,175
2100,167,174
2200,171,173
2300,169,173
2400,169,174
2500,171,173
2600,172,175
2700,171,176
2800,173,174
2900,171,176
3000,170,175
3100,171,176
3200,172,175
3300,170,175
3400,170,176
3500,172,177
3600,171,178
3700,175,178
3800,173,179
3900,173,179
4000,172,179
4100,172,179
4200,174,183
4300,174,181
4400,173,182
4500,172,178
4600,172,185
4700,175,180
4800,175,181
4900,175,181
5000,172,183
5100,173,183
5200,173,183
5300,175,184
5400,175,185
5500,174,183
5600,174,184
5700,177,185
5800,177,187
5900,175,186
6000,176,186
6100,175,186
6200,177,186
6300,178,184
6400,176,185
6500,178,186
6600,180,185
6700,175,188
6800,176,188
6900,179,190
7000,178,191
7100,178,187
7200,178,189
7300,179,187
7400,179,191
7500,178,191
7600,179,189
7700,176,190
7800,181,192
7900,180,191
8000,177,190
8100,182,194
8200,179,194
8300,180,193
8400,181,191
8500,179,192
8600,183,196
8700,182,198
8800,180,194
8900,182,196
9000,182,192
9100,182,197
9200,181,200
9300,183,199
9400,181,194
9500,181,199
9600,183,194
9700,180,202
9800,184,199
9900,182,197
10000,181,199
