n,Best Case,Worst Case
100,412,32
200,812,36
300,1212,40
400,1612,40
500,2012,40
600,2412,44
700,2812,44
800,3212,44
900,3612,44
1000,4012,44
1100,4412,48
1200,4812,48
1300,5212,48
1400,5612,48
1500,6012,48
1600,6412,48
1700,6812,48
1800,7212,48
1900,7612,48
2000,8012,48
2100,8412,52
2200,8812,52
2300,9212,52
2400,9612,52
2500,10012,52
2600,10412,52
2700,10812,52
2800,11212,52
2900,11612,52
3000,12012,52
3100,12412,52
3200,12812,52
3300,13212,52
3400,13612,52
3500,14012,52
3600,14412,52
3700,14812,52
3800,15212,52
3900,15612,52
4000,16012,52
4100,16412,56
4200,16812,56
4300,17212,56
4400,17612,56
4500,18012,56
4600,18412,56
4700,18812,56
4800,19212,56
4900,19612,56
5000,20012,56
5100,20412,56
5200,20812,56
5300,21212,56
5400,21612,56
5500,22012,56
5600,22412,56
5700,22812,56
5800,23212,56
5900,23612,56
6000,24012,56
6100,24412,56
6200,24812,56
6300,25212,55
6400,25612,55
6500,26012,56
6600,26412,56
6700,26812,55
6800,27212,56
6900,27612,56
7000,28012,56
7100,28412,56
7200,28812,56
7300,29212,55
7400,29612,55
7500,30012,55
7600,30412,55
7700,30812,56
7800,31212,55
7900,31612,55
8000,32012,55
8100,32412,56
8200,32812,60
8300,33212,60
8400,33612,60
8500,34012,60
8600,34412,60
8700,34812,59
8800,35212,59
8900,35612,60
9000,36012,60
9100,36412,60
9200,36812,59
9300,37212,59
9400,37612,59
9500,38012,60
9600,38412,59
9700,38812,59
9800,39212,59
9900,39612,59
10000,40012,59
