n,Best Case,Worst Case
100,2198,1130
200,4303,2167
300,6406,3236
400,8481,4273
500,10588,5309
600,12692,6377
700,14764,7413
800,16868,8449
900,18972,9515
1000,21046,10555
1100,23146,11595
1200,25257,12660
1300,27327,13698
1400,29433,14734
1500,31540,15801
1600,33613,16838
1700,35716,17875
1800,37820,18941
1900,39889,19980
2000,41998,21015
2100,44105,22086
2200,46178,23118
2300,48284,24158
2400,50383,25230
2500,52463,26262
2600,54561,27298
2700,56671,28367
2800,58745,29409
2900,60845,30440
3000,62949,31508
3100,65022,32543
3200,67133,33583
3300,69237,34646
3400,71311,35688
3500,73414,36722
3600,75515,37789
3700,77595,38825
3800,79692,39862
3900,81803,40930
4000,83870,41969
4100,85976,43011
4200,88077,44076
4300,90160,45115
4400,92258,46146
4500,94362,47215
4600,96437,48251
4700,98541,49290
4800,100654,50359
4900,102719,51395
5000,104827,52430
5100,106932,53497
5200,109005,54529
5300,111118,55569
5400,113219,56640
5500,115289,57677
5600,117385,58715
5700,119502,59781
5800,121566,60815
5900,123678,61855
6000,125781,62926
6100,127850,63961
6200,129958,64994
6300,132061,66062
6400,134135,67103
6500,136233,68138
6600,138345,69203
6700,140422,70246
6800,142527,71276
6900,144622,72346
7000,146693,73379
7100,148806,74412
7200,150909,75489
7300,152983,76514
7400,155081,77565
7500,157193,78627
7600,159260,79664
7700,161372,80698
7800,163470,81770
7900,165554,82805
8000,167651,83845
8100,169764,84913
8200,171832,85951
8300,173937,86989
8400,176043,88053
8500,178123,89094
8600,180225,90129
8700,182327,91194
8800,184397,92228
8900,186496,93274
9000,188611,94329
9100,190679,95371
9200,192791,96405
9300,194896,97478
9400,196965,98512
9500,199057,99553
9600,201178,100612
9700,203249,101650
9800,205350,102696
9900,207454,103766
10000,209522,104797
